0,CombatZoneResize,241,246,406,391,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,
0,HeartMode,0,,,,,,,,,,
0,SET,H,30,,,,,,,,,
0,SET,H2,105,,,,,,,,,
0,RND,JIA,86,,,,,,,,,
0,ADD,H,$H,$JIA,,,,,,,,
0,SUB,H2,$H2,$JIA,,,,,,,,
0.5,SansBody,HandDown,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,
0.2,BoneStab,1,40,0.6666,0.2,,,,,,,
0,BoneStab,2,$H,0.6666,10,,,,,,,
0,BoneStab,0,$H2,0.6666,10,,,,,,,
0,SansAnimation,Idle,,,,,,,,,,
0.5,HeartMode,0,,,,,,,,,,
0,Sound,Ding,,,,,,,,,,
0,SET,Loop,10,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,
0,SET,Y,251,,,,,,,,,
0,RND,JIA,135,,,,,,,,,
0,ADD,Y,$Y,$JIA,,,,,,,,
0,GasterBlaster,0,141,0,141,$Y,0,0.46,0,0,0,
0.5,SET,Y,251,,,,,,,,,
0,RND,JIA,135,,,,,,,,,
0,ADD,Y,$Y,$JIA,,,,,,,,
0,GasterBlaster2,0,506,0,506,$Y,180,0.46,150,0,0,
0.5,JMPNZ,18,$Loop,,,,,,,,,
1,SansBody,HandDown,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,
0,CombatZoneResize,201,246,446,391,,,,,,,
0,BoneTRepeat,506,356,55,55,180,100,0,3,0,50,150
0,BoneTRepeat,141,286,55,55,0,100,0,-3,0,50,150
0.2,SansAnimation,Idle,,,,,,,,,,
0,BoneVVRepeat,556,376,30,180,100,0,0,0,0,50,150
0,BoneVVRepeat,91,261,30,0,100,0,0,0,0,50,150
10,Sound,Ding,,,,,,,,,,
0.2,SansBody,HandUP,,,,,,,,,,
0,SansSlam,3,,,,,,,,,,
0.2,SansAnimation,Idle,,,,,,,,,,
8,EndAttack,,,,,,,,,,,
