0,CombatZoneResize,241,226,406,391,,,,,,
0,HeartTeleport,320,304,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,SansHead,BlueEye,,,,,,,,,
0.4,SET,I,0,,,,,,,,
0.29999,RND,Direction,4,,,,,,,,
0,ADD,Jump,$Direction,1,,,,,,,
0,ADD,S,$Direction,2,,,,,,,
0,SUB,O,$Direction,2,,,,,,,
0,ADD,U,$Direction,1,,,,,,,
0,SUB,a,$Direction,1,,,,,,,
0,ADD,K,$Direction,3,,,,,,,
0,SUB,w,$Direction,3,,,,,,,
0,SET,gao,44,,,,,,,,
0,SET,gao2,85,,,,,,,,
0,RND,JI,25,,,,,,,,
0,ADD,gao,$gao,$JI,,,,,,,
0,SUB,gao2,$gao2,$JI,,,,,,,
0,JMPREL,$Jump,,,,,,,,,
0,JMPREL,4,,,,,,,,,
0,JMPREL,5,,,,,,,,,
0,JMPREL,6,,,,,,,,,
0,JMPREL,7,,,,,,,,,
0,SansBody,HandRight,,,,,,,,,
0,JMPREL,7,,,,,,,,,
0,SansBody,HandDown,,,,,,,,,
0,JMPREL,5,,,,,,,,,
0,SansBody,HandLeft,,,,,,,,,
0,JMPREL,3,,,,,,,,,
0,SansBody,HandUp,,,,,,,,,
0,JMPREL,1,,,,,,,,,
0.26666,SansSlam,$Direction,,,,,,,,,
0.2,BoneStab,$Direction,29,0.44,0,,,,,,
0,BoneStab,$S,100,0.44,0,,,,,,
0,BoneStab,$O,100,0.44,0,,,,,,
0,BoneStab,$a,$gao,0.44,0,,,,,,
0,BoneStab,$U,$gao2,0.44,0,,,,,,
0,BoneStab,$K,$gao,0.44,0,,,,,,
0,BoneStab,$w,$gao2,0.44,0,,,,,,
0,ADD,I,$I,1,,,,,,,
0,JMPL,13,$I,8,,,,,,,
0.58888,SansBody,HandDown,,,,,,,,,
0,SansHead,,,,,,,,,,
0,SansSlam,1,43,0.4,12,0,,,,,
0.4,BoneStab,1,43,0.4,12,0,,,,,
0,BoneStab,2,43,0.4,12,0,,,,,
0,BoneStab,3,43,0.4,12,0,,,,,
0,BoneStab,0,43,0.4,12,0,,,,,
0.6,HeartMode,,,,,,,,,,
0,Sound,ding,,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,
0.2,BoneHRepeat2,241,126,85,1,150,0,15,100,,
0,BoneHRepeat2,320,466,85,3,150,0,15,100,,
0,BoneVRepeat,521,226,85,2,150,0,15,100,,
0,BoneVRepeat,111,306,85,0,150,0,15,100,,
12,SansBody,HandLeft,,,,,,,,,
0,SansSlam,2,,,,,,,,,
0,gasterblaster,0,0,0,315,166,90,0.1,0.1,0,0
0,gasterblaster,0,640,0,355,166,120,0.1,0.1,0,0
0,gasterblaster,0,640,480,355,451,-120,0.1,0.1,0,0
0,gasterblaster,0,640,0,355,241,180,0.1,0.1,0,0
0,gasterblaster,0,640,480,355,386,180,0.1,0.1,0,0
0.2,BoneStab,2,29,0.4,0.2,,,,,,
