0,CombatZoneResize,241,226,406,391,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,
0,heartmode,0,,,,,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,,,,
0,SansHead,Default,,,,,,,,,,
0,SansTorso,Default,,,,,,,,,,
0.8,SansBody,HandDown,,,,,,,,,,
0,sansslam,1,,,,,,,,,,
0.2666,BoneStab,1,29,0.1333,0.266,0,,,,,,
0,SansTorso,Default,,,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,,
0.2,bonev,221,231,115,0,900,0,,,,,
0,bonev,221,356,30,0,900,0,,,,,
0,bonev,411,231,115,2,900,0,,,,,
0,bonev,411,356,30,2,900,0,,,,,
0.6,BoneVRepeat,221,231,115,0,350,0,8,280,,,
0,BoneVRepeat,221,356,30,0,350,0,8,280,,,
0,BoneVRepeat,411,231,115,2,350,0,8,280,,,
0,BoneVRepeat,411,356,30,2,350,0,8,280,,,
0,BoneVRepeat,206,231,115,0,350,0,8,280,,,
0,BoneVRepeat,206,356,30,0,350,0,8,280,,,
0,BoneVRepeat,426,231,115,2,350,0,8,280,,,
0,BoneVRepeat,426,356,30,2,350,0,8,280,,,
0,BoneVRepeat,191,231,118,0,350,0,8,280,,,
0,BoneVRepeat,191,359,27,0,350,0,8,280,,,
0,BoneVRepeat,441,231,118,2,350,0,8,280,,,
0,BoneVRepeat,441,359,27,2,350,0,8,280,,,
7,boneh2,246,450,149,3,900,1,,,,,
0.05,boneh2,246,450,149,3,900,1,,,,,
0.05,boneh2,246,450,149,3,900,1,,,,,
0.05,boneh2,246,450,149,3,900,1,,,,,
0.05,boneh2,246,450,149,3,900,1,,,,,
0.35,SansBody,HandUp,,,,,,,,,,
0,sansslam,3,,,,,,,,,,
0.2,BoneStab,3,45,0.2333,1,0,,,,,,
0,SansTorso,Default,,,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,,
0,heartmode,0,,,,,,,,,,
0,sound,ding,,,,,,,,,,
0.1,BoneStab,1,95,0.1333,0,0,,,,,,
0.1,BoneStab,1,60,0.2333,13,0,,,,,,
0,BoneStab,3,60,0.2333,13,0,,,,,,
0.4,BoneVRepeat,236,231,78,0,100,0,8,50,,,
0,BoneVRepeat,411,311,78,2,100,0,8,50,,,
0,BoneTRepeat,436,310,30,30,180,100,0,-1,2,7,50
5.8,BoneHRepeat,130,-20,200,1,500,0,4,183,,,
0,BoneHRepeat,330,720,200,3,500,0,4,183,,,
2.2,BoneV,436,221,80,2,350,0,,,,,
0,BoneV,436,311,80,2,350,0,,,,,
0.5,BoneV,211,211,100,0,350,0,,,,,
2,EndAttack,,,,,,,,,,,
