0,SansHead,LookLeft,,,,,,,
0,sanstorso,shrug,,,,,,,
0,sanstext,ok,,,,,,,
0,sanstext,Be patient,,,,,,,
0,SansHead,Default,,,,,,,
0,sanstorso,Default,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,SET,Loop,5,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,4,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,:Attack5,,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,
0,CombatZoneResizeInstant,251,276,406,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,334,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneVRepeat,1,334,50,0,240,5,16,
0,BoneVRepeat,649,334,50,2,240,5,16,
0.5,BoneVRepeat,524,280,35,2,240,5,16,
0,BoneVRepeat,126,280,35,0,240,5,16,
1,gasterblaster,0,0,0,201,281,0,0.5,1
0,gasterblaster,0,640,0,456,344,180,0.5,1
0,BoneVRepeat,101,319,65,0,240,10,16,
0,BoneVRepeat,549,319,65,2,240,10,16,
0,DamagePlayer,-6,1,,,,,,
2.5,JMPABS,RndAttack,,,,,,,
0,:Attack5Other,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,304,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneV,521,280,35,2,240,,,
0.5,bonestab,1,45,0.5,10,,,,
0,bonestab,3,45,0.5,10,,,,
0.355,HeartMode,0,,,,,,,
0,sound,ding,1,,,,,,
0,BoneVRepeat,100,281,105,0,55,20,16,
0.2,SET,oooo,15,,,,,,
0,SUB,oooo,$oooo,1,,,,,
0,SET,EndX,50,,,,,,
0,RND,jia,541,,,,,,
0,ADD,EndX,$EndX,$jia,,,,,
0,GetHeartPos,HeartXX,HeartYY,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartXX,$HeartYY,,,
0,GasterBlaster,0,0,0,$EndX,50,$Ang,0.66666,0.03333
0.2222,JMPNZ,56,$oooo,,,,,,
0.5,GetHeartPos,HeartXX,HeartYY,,,,,,
0,GetHeartPos,HeartXXX,HeartYYY,,,,,,
0,SUB,HeartXX,$HeartXX,30,,,,,
0,ADD,HeartXXX,$HeartXXX,30,,,,,
0,GasterBlaster,0,0,0,$HeartXX,226,90,0,0.5
0,GasterBlaster,0,640,0,$HeartXXX,226,90,0,0.5
0,DamagePlayer,-6,1,,,,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,RND,Rot,2,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,
0,GasterBlaster,0,191,306,191,306,0,0.6,0.26666
0,GasterBlaster,0,321,166,321,166,90,0.6,0.26666
0,GasterBlaster,0,449,306,449,306,180,0.6,0.26666
0,GasterBlaster,0,321,446,321,446,270,0.6,0.26666
0,GasterBlaster,1,191,176,191,176,45,0.6,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.6,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.6,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.6,0.26666
0,DamagePlayer,-6,1,,,,,,
1.2,JMPABS,RndAttack,,,,,,,
0,:Attack6Other,,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.66666,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.66666,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.66666,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.66666,0.26666
0,GasterBlaster,0,189,246,189,246,0,0.66666,0.26666
0,GasterBlaster,0,259,166,259,166,90,0.66666,0.26666
0,GasterBlaster,0,449,366,449,366,180,0.66666,0.26666
0,GasterBlaster,0,379,446,379,446,270,0.66666,0.26666
0,DamagePlayer,-6,1,,,,,,
1.2,JMPABS,RndAttack,,,,,,,
0,:Attack7,,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,
0,HeartMode,0,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack7Other,$Side,,,,,,
0,HeartTeleport,382,314,,,,,,
0,DIV,Deg,180,$pi,,,,,
0,SET,I,0,,,,,,
0,DIV,Ang,$I,2,,,,,
0,MUL,Ang,$Ang,$Deg,,,,,
0,SIN,Sine,$Ang,,,,,,
0,MUL,Sine,$Sine,20,,,,,
0,FLOOR,Sine,$Sine,,,,,,
0,MUL,X,$I,20,,,,,
0,SUB,X,$X,286,,,,,
0,SET,Y,231,,,,,,
0,ADD,H,55,$Sine,,,,,
0,BoneV,$X,$Y,$H,0,350,,,
0,ADD,Y,$Y,$H,,,,,
0,ADD,Y,$Y,18,,,,,
0,SUB,H,386,$Y,,,,,
0,BoneV,$X,$Y,$H,0,350,,,
0,ADD,I,$I,1,,,,,
0,JMPL,107,$I,16,,,,,
0,DamagePlayer,-6,1,,,,,,
2.4,JMPABS,RndAttack,,,,,,,
0,:Attack7Other,,,,,,,,
0,HeartTeleport,201,294,,,,,,
0,DIV,Deg,180,$pi,,,,,
0,SET,I,0,,,,,,
0,DIV,Ang,$I,2,,,,,
0,MUL,Ang,$Ang,$Deg,,,,,
0,SIN,Sine,$Ang,,,,,,
0,MUL,Sine,$Sine,20,,,,,
0,FLOOR,Sine,$Sine,,,,,,
0,MUL,X,$I,20,,,,,
0,ADD,X,$X,546,,,,,
0,SET,Y,231,,,,,,
0,ADD,H,55,$Sine,,,,,
0,BoneV,$X,$Y,$H,2,350,,,
0,ADD,Y,$Y,$H,,,,,
0,ADD,Y,$Y,18,,,,,
0,SUB,H,386,$Y,,,,,
0,BoneV,$X,$Y,$H,2,350,,,
0,ADD,I,$I,1,,,,,
0,JMPL,129,$I,16,,,,,
0,DamagePlayer,-6,1,,,,,,
2.4,JMPABS,RndAttack,,,,,,,
0,:Attack8,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,1,,,,,,,
0,HeartMaxFallSpeed,0,,,,,,,
0,sansslam,0,,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack8Other,$Side,,,,,,
0,HeartTeleport,391,376,,,,,,
0,BoneHRepeat,246,226,40,3,80,23,88,
0,BoneHRepeat,361,391,40,1,80,23,88,
0.55,sound,ding,1,,,,,,
0.55,sound,ding,1,,,,,,
0.55,sound,ding,1,,,,,,
0.55,SansBody,HandLeft,,,,,,,
0,sansslam,2,,,,,,,
0.55,sanstorso,Default,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,DamagePlayer,-6,1,,,,,,
2.5,JMPABS,RndAttack,,,,,,,
0,:Attack8Other,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,1,,,,,,,
0,HeartMaxFallSpeed,0,,,,,,,
0,sansslam,2,,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,
0,HeartTeleport,256,241,,,,,,
0,BoneHRepeat,246,226,40,3,80,23,88,
0,BoneHRepeat,361,391,40,1,80,23,88,
0.55,sound,ding,1,,,,,,
0.55,sound,ding,1,,,,,,
0.55,sound,ding,1,,,,,,
0.55,SansBody,HandRight,,,,,,,
0,sansslam,0,,,,,,,
0.55,sanstorso,Default,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,DamagePlayer,-6,1,,,,,,
2.5,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,EndAttack,,,,,,,,
