0,CombatZoneSpeed,1000,,,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,
0,HeartTeleport,391,251,,,,,,,,,,,
0,GBBoneTT,323,307,150,150,323,307,1,0,0,15,0,1.5,0
0,GBBoneVV2,241,226,160,241,226,1,0,0,0,15,-1.5,0,0
0,GBBoneVV2,406,226,160,406,226,1,0,0,0,15,-1.5,0,0
0,GBBoneVV2,241,391,160,241,391,1,0,0,0,15,-1.5,0,0
0,GBBoneVV2,406,391,160,406,391,1,0,0,0,15,-1.5,0,0
0,GBBoneVV2,323,307,170,323,307,1,0,0,0,15,-1.7,0,1
5,Evil King True Eye,456,166,,,,,,,,,,,
13,EndAttack,,,,,,,,,,,,,
