0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,RND,YYY,3,,,,,,
0,ADD,YYY,$YYY,1,,,,,
0,JMPREL,$YYY,,,,,,,
0,JMPABS,NO1,,,,,,,
0,JMPABS,NO2,,,,,,,
0,JMPABS,NO3,,,,,,,
0,:NO1,,,,,,,,
0.4,SET,I,0,,,,,,
0.36666,RND,Direction,4,,,,,,
0,ADD,Jump3,$Direction,1,,,,,
0,ADD,S,$Direction,2,,,,,
0,SUB,O,$Direction,2,,,,,
0,ADD,U,$Direction,1,,,,,
0,SUB,a,$Direction,1,,,,,
0,ADD,K,$Direction,3,,,,,
0,SUB,w,$Direction,3,,,,,
0,SET,gao,44,,,,,,
0,SET,gao2,85,,,,,,
0,RND,JI,25,,,,,,
0,ADD,gao,$gao,$JI,,,,,
0,SUB,gao2,$gao2,$JI,,,,,
0,JMPREL,$Jump3,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0.26666,SansSlam,$Direction,,,,,,,
0.2,BoneStab,$Direction,29,0.44,0,,,,
0,BoneStab,$S,100,0.44,0,,,,
0,BoneStab,$O,100,0.44,0,,,,
0,BoneStab,$a,$gao,0.44,0,,,,
0,BoneStab,$U,$gao2,0.44,0,,,,
0,BoneStab,$K,$gao,0.44,0,,,,
0,BoneStab,$w,$gao2,0.44,0,,,,
0,ADD,I,$I,1,,,,,
0,JMPL,13,$I,9,,,,,
1,JMPABS,End,,,,,,,
0,:NO2,,,,,,,,
0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.5,SET,Loop,9,,,,,,
0,:RndAttack,,,,,,,,
0,JMPZ,End2,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,16,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,JMPABS,Attack4,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,JMPABS,Attack9,,,,,,,
0,JMPABS,Attack10,,,,,,,
0,JMPABS,Attack11,,,,,,,
0,JMPABS,Attack12,,,,,,,
0,JMPABS,Attack13,,,,,,,
0,JMPABS,Attack14,,,,,,,
0,JMPABS,Attack15,,,,,,,
0,:Attack0,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0.9,JMPABS,RndAttack,,,,,,,
0,:Attack2,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0.9,JMPABS,RndAttack,,,,,,,
0,:Attack4,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0.9,JMPABS,RndAttack,,,,,,,
0,:Attack5,,,,,,,,
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0.9,JMPABS,RndAttack,,,,,,,
0,:Attack7,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
