0,heartteleport,320,376,,,,,,,,
0,heartmode,1,,,,,,,,,
0,CombatZoneResize,133,251,508,391,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,PlatformRepeat,-20,346,41,2,80,0,55,140,,
0,PlatformRepeat,552,306,41,0,80,0,55,160,,
0,SET,loop,10,,,,,,,,
0,:kaishi,,,,,,,,,,
0.5,JMPZ,71,$loop,,,,,,,,
0,SUB,loop,$loop,1,,,,,,,
0,RND,shuiji,3,,,,,,,,
0,ADD,shuiji,$shuiji,1,,,,,,,
0,JMPREL,$shuiji,,,,,,,,,
0,JMPABS,yi,,,,,,,,,
0,JMPABS,yi2,,,,,,,,,
0,JMPABS,yi3,,,,,,,,,
0,:yi,,,,,,,,,,
0,RND,gewai,2,,,,,,,,
0,JMPZ,29,$gewai,,,,,,,,
0,,,,,,,,,,,
0,bonev,114,302,83,0,70,,,,,
0,,,,,,,,,,,
0,gasterblaster,0,640,0,578,287,180,1,0.166,0,0
0,,,,,,,,,,,
1.5,JMPABS,kaishi,,,,,,,,,
0,,,,,,,,,,,
0,bonev,527,302,83,2,70,,,,,
0,,,,,,,,,,,
0,gasterblaster,0,0,0,63,287,0,1,0.166,0,0
0,,,,,,,,,,,
1.5,JMPABS,kaishi,,,,,,,,,
0,:yi2,,,,,,,,,,
0,RND,gewai2,2,,,,,,,,
0,JMPZ,47,$gewai2,,,,,,,,
0,,,,,,,,,,,
0,bonev,114,257,50,0,70,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,bonev,114,345,40,0,70,,,,,
0,,,,,,,,,,,
0,gasterblaster,0,640,0,578,332,180,1,0.166,0,0
0,,,,,,,,,,,
1.5,JMPABS,kaishi,,,,,,,,,
0,,,,,,,,,,,
0,bonev,527,257,50,2,70,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,bonev,527,345,40,2,70,,,,,
0,,,,,,,,,,,
0,gasterblaster,0,0,0,63,332,0,1,0.166,0,0
0,,,,,,,,,,,
1.5,JMPABS,kaishi,,,,,,,,,
0,:yi3,,,,,,,,,,
0,RND,gewai2,2,,,,,,,,
0,JMPZ,65,$gewai2,,,,,,,,
0,,,,,,,,,,,
0,bonev,114,257,83,0,70,,,,,
0,,,,,,,,,,,
0,gasterblaster,0,640,0,578,372,180,1,0.166,0,0
0,,,,,,,,,,,
1.5,JMPABS,kaishi,,,,,,,,,
0,,,,,,,,,,,
0,bonev,527,257,83,2,70,,,,,
0,,,,,,,,,,,
0,gasterblaster,0,0,0,63,372,0,1,0.166,0,0
0,,,,,,,,,,,
1.5,JMPABS,kaishi,,,,,,,,,
0.9,EndAttack,,,,,,,,,,
