0,CombatZoneResize,114,216,576,391,,,,,,,
0,HeartTeleport,556,304,,,,,,,,,
0,HeartMode,0,,,,,,,,,,
0,SET,Loop,4,,,,,,,,,
0,SET,X,174,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,
0,SET,Ang,65,,,,,,,,,
0,RND,jia,71,,,,,,,,,
0,ADD,Ang,$Ang,$jia,,,,,,,,
0,ADD,Ang2,$Ang,90,,,,,,,,
0,BoneVVRepeat,$X,200,20,$Ang,75,0,0,$Ang2,0,25,75
0,ADD,X,$X,50,,,,,,,,
0,SET,Ang,-65,,,,,,,,,
0,RND,jia,71,,,,,,,,,
0,SUB,Ang,$Ang,$jia,,,,,,,,
0,ADD,Ang2,$Ang,90,,,,,,,,
0,BoneVVRepeat,$X,407,20,$Ang,75,0,0,$Ang2,0,25,75
0,ADD,X,$X,50,,,,,,,,
0,JMPNZ,6,$Loop,,,,,,,,,
0.5,SET,Loop3,2,,,,,,,,,
0,SUB,Loop3,$Loop3,1,,,,,,,,
0,GasterBlaster3,0,350,3,350,166,15,0.6666,3.5,0,0.5,
0.5,SET,Loop2,3,,,,,,,,,
0,SUB,Loop2,$Loop2,1,,,,,,,,
0,RND,Ang2,360,,,,,,,,,
0,COS,X2,$Ang2,,,,,,,,,
0,SIN,Y2,$Ang2,,,,,,,,,
0,MUL,EndX2,$X2,200,,,,,,,,
0,MUL,EndY2,$Y2,200,,,,,,,,
0,MUL,X2,$X2,400,,,,,,,,
0,MUL,Y2,$Y2,300,,,,,,,,
0,RND,Ang3,360,,,,,,,,,
0,COS,X3,$Ang3,,,,,,,,,
0,SIN,Y3,$Ang3,,,,,,,,,
0,MUL,EndX3,$X3,200,,,,,,,,
0,MUL,EndY3,$Y3,200,,,,,,,,
0,MUL,X3,$X3,400,,,,,,,,
0,MUL,Y3,$Y3,300,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,ADD,EndX2,$EndX2,$HeartX,,,,,,,,
