0,CombatZoneResize,241,226,406,391,,,,
0,heartmode,0,,,,,,,
0,HeartTeleport,323,304,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,SansHead,Wink,,,,,,,
0,sanstorso,shrug,,,,,,,
0,sanstext,Keep your determination,,,,,,,
0,bonev,317,314,70,,,,,
0,boneh,246,300,68,,,,,
0,boneh,333,300,67,,,,,
0,bonev,343,314,30,,,1,,
0,boneh,333,324,30,,,1,,
0,bonev,291,314,30,,,1,,
0,boneh,281,324,30,,,1,,
0,bonev,256,265,30,,,1,,
0,boneh,246,275,30,,,1,,
0,bonev,381,265,30,,,1,,
0,boneh,371,275,30,,,1,,
0,GasterBlaster,2,0,300,150,300,0,100,-1
0,GasterBlaster,2,640,300,495,300,180,100,-1
0,GasterBlaster,2,0,0,100,100,45,100,-1
0,GasterBlaster,2,640,0,540,100,135,100,-1
1,,,,,,,,,
0,EndAttack,,,,,,,,
