0,CombatZoneResize,141,216,506,391,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,,
0,Heartmode,1,,,,,,,,,,,,
0.5,BoneVVRepeat,516,236,50,180,150,0,0,0,0,15,50,,
0.5,BoneVVRepeat,131,376,50,0,100,0,0,0,0,330,12,,
0.5,PlatformRepeat,101,336,50,0,100,1,40,100,,,,,
0.5,Sanstrample,,,,,,,,,,,,,
0,BoneVVRepeat,640,256,50,180,100,0,-1,0,0,75,50,,
1.5,SansAnimation,Idle,,,,,,,,,,,,
0,SET,Loop,25,,,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,,,
0,RND,Ang,360,,,,,,,,,,,
0,COS,X,$Ang,,,,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,,,,
0,MUL,EndX,$X,200,,,,,,,,,,
0,MUL,EndY,$Y,200,,,,,,,,,,
0,MUL,X,$X,400,,,,,,,,,,
0,MUL,Y,$Y,300,,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,,,,,,
0,ADD,X,$X,$HeartX,,,,,,,,,,
0,ADD,Y,$Y,$HeartY,,,,,,,,,,
0,JMPNL,26,$EndX,50,,,,,,,,,,
0,SET,EndX,50,,,,,,,,,,,
0,JMPNG,28,$EndX,590,,,,,,,,,,
0,SET,EndX,590,,,,,,,,,,,
0,JMPNL,30,$EndY,40,,,,,,,,,,
0,SET,EndY,40,,,,,,,,,,,
0,JMPNG,32,$EndY,440,,,,,,,,,,
0,SET,EndY,440,,,,,,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,,,,,,
0,GasterBlaster2,0,$X,$Y,$EndX,$EndY,$Ang,0.26,150,0,5,,,
0.5,SET,X,151,,,,,,,,,,,
0,SET,Y,196,,,,,,,,,,,
0,RND,JIA,346,,,,,,,,,,,
0,ADD,X,$X,$JIA,,,,,,,,,,
0,RND,JIA2,101,,,,,,,,,,,
0,ADD,EndY,$Y,$JIA2,,,,,,,,,,
0,RND,Ang,361,,,,,,,,,,,
0,GBBoneT2,$X,$Y,35,35,$X,$EndY,3,120,$Ang,0.5,0,2,0
0.5,SET,X,151,,,,,,,,,,,
0,SET,Y,196,,,,,,,,,,,
0,RND,JIA,346,,,,,,,,,,,
0,ADD,X,$X,$JIA,,,,,,,,,,
0,RND,JIA2,101,,,,,,,,,,,
0,ADD,EndY,$Y,$JIA2,,,,,,,,,,
0,RND,Ang,361,,,,,,,,,,,
0,GBBoneT2,$X,$Y,35,35,$X,$EndY,3,120,$Ang,0.5,0,2,0
0.5,JMPNZ,11,$Loop,,,,,,,,,,,
0.5,EndAttack,,,,,,,,,,,,,
