0,CombatZoneResize,241,226,406,391,,,,
0,HeartMaxFallSpeed,700,,,,,,,
0,heartmode,0,,,,,,,
0,HeartTeleport,320,306,,,,,,
0.2,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,CombatZoneResize,241,226,406,391,,,,
0,HeartTeleport,320,306,,,,,,
0,BoneHRepeat2,406,286,30,0,50,0,100,55
0,BoneHRepeat2,241,316,30,2,50,0,100,55
0,BoneVRepeat,300,226,30,3,50,0,100,55
0,BoneVRepeat,330,391,30,1,50,0,100,55
0.5,SET,gt9,0,,,,,,
0,SET,gin9,1,,,,,,
0,SET,QQ,0,,,,,,
0,RND,ZZ,100,,,,,,
0,SUB,QQ,$QQ,$ZZ,,,,,
0,MUL,Ang9,$gt9,$QQ,,,,,
0,COS,X9,$Ang9,,,,,,
0,SIN,Y9,$Ang9,,,,,,
0,MUL,EndX9,$X9,150,,,,,
0,MUL,EndY9,$Y9,150,,,,,
0,MUL,X9,$EndX9,3,,,,,
0,MUL,Y9,$EndY9,3,,,,,
0,ADD,X9,$X9,320,,,,,
0,ADD,Y9,$Y9,306,,,,,
0,ADD,EndX9,$EndX9,320,,,,,
0,ADD,EndY9,$EndY9,306,,,,,
0,ADD,Ang9,$Ang9,180,,,,,
0,GasterBlaster,0,$X9,$Y9,$EndX9,$EndY9,$Ang9,0.6,0
0,ADD,gt9,$gt9,$gin9,,,,,
0.8,JMPNL,40,$gin9,1.7,,,,,
0,SET,gin9,1,,,,,,
0,SET,QQ,0,,,,,,
0,RND,ZZ,100,,,,,,
0,SUB,QQ,$QQ,$ZZ,,,,,
0,MUL,Ang9,$gt9,$QQ,,,,,
0,COS,X9,$Ang9,,,,,,
0,SIN,Y9,$Ang9,,,,,,
0,MUL,EndX9,$X9,150,,,,,
0,MUL,EndY9,$Y9,150,,,,,
0,MUL,X9,$EndX9,3,,,,,
0,MUL,Y9,$EndY9,3,,,,,
0,ADD,X9,$X9,320,,,,,
0,ADD,Y9,$Y9,306,,,,,
0,ADD,EndX9,$EndX9,320,,,,,
0,ADD,EndY9,$EndY9,306,,,,,
0,ADD,Ang9,$Ang9,180,,,,,
0,GasterBlaster,0,$X9,$Y9,$EndX9,$EndY9,$Ang9,0.6,0
0,ADD,gt9,$gt9,$gin9,,,,,
0.8,JMPNL,59,$gin9,1.7,,,,,
0,SET,gin9,1,,,,,,
0,SET,QQ,0,,,,,,
0,RND,ZZ,100,,,,,,
0,SUB,QQ,$QQ,$ZZ,,,,,
0,MUL,Ang9,$gt9,$QQ,,,,,
0,COS,X9,$Ang9,,,,,,
0,SIN,Y9,$Ang9,,,,,,
0,MUL,EndX9,$X9,150,,,,,
0,MUL,EndY9,$Y9,150,,,,,
0,MUL,X9,$EndX9,3,,,,,
0,MUL,Y9,$EndY9,3,,,,,
0,ADD,X9,$X9,320,,,,,
0,ADD,Y9,$Y9,306,,,,,
0,ADD,EndX9,$EndX9,320,,,,,
0,ADD,EndY9,$EndY9,306,,,,,
0,ADD,Ang9,$Ang9,180,,,,,
0,GasterBlaster,0,$X9,$Y9,$EndX9,$EndY9,$Ang9,0.6,0
0,ADD,gt9,$gt9,$gin9,,,,,
0.8,JMPNL,78,$gin9,1.7,,,,,
0,SET,gin9,1,,,,,,
0,SET,QQ,0,,,,,,
0,RND,ZZ,100,,,,,,
0,SUB,QQ,$QQ,$ZZ,,,,,
0,MUL,Ang9,$gt9,$QQ,,,,,
0,COS,X9,$Ang9,,,,,,
0,SIN,Y9,$Ang9,,,,,,
0,MUL,EndX9,$X9,150,,,,,
0,MUL,EndY9,$Y9,150,,,,,
0,MUL,X9,$EndX9,3,,,,,
0,MUL,Y9,$EndY9,3,,,,,
0,ADD,X9,$X9,320,,,,,
0,ADD,Y9,$Y9,306,,,,,
0,ADD,EndX9,$EndX9,320,,,,,
0,ADD,EndY9,$EndY9,306,,,,,
0,ADD,Ang9,$Ang9,180,,,,,
0,RND,T9,4,,,,,,
0,ADD,T9,$T9,1,,,,,
0,JMPREL,$T9,,,,,,,
0,JMPABS,PP1,,,,,,,
0,JMPABS,PP2,,,,,,,
0,JMPABS,PP3,,,,,,,
0,JMPABS,PP3,,,,,,,
0,:PP1,,,,,,,,
0,GasterBlaster,1,276,0,276,166,90,1,0.1
0,JMPABS,III,,,,,,,
0,:PP2,,,,,,,,
0,GasterBlaster,1,0,356,181,356,0,1,0.1
0,JMPABS,III,,,,,,,
0,:PP3,,,,,,,,
0,GasterBlaster,1,371,480,371,451,-90,1,0.1
0,JMPABS,III,,,,,,,
0,:PP4,,,,,,,,
0,GasterBlaster,1,640,256,466,256,180,1,0.1
0,JMPABS,III,,,,,,,
0,:III,,,,,,,,
0,GasterBlaster,0,$X9,$Y9,$EndX9,$EndY9,$Ang9,0.6,0
0,ADD,gt9,$gt9,$gin9,,,,,
0,JMPNL,117,$gin9,1.7,,,,,
0.8,JMPL,23,$gt9,35,,,,,
1,EndAttack,,,,,,,,
